0,harbor
1,southeast
2,alhambra
3,el monte
4,bellflower
5,inglewood
6,pasadena
7,antelope valley
8,san fernando
9,southwest
10,long beach
11,whittier
12,foothill
13,glendale
14,pomona
15,compton
16,east la
17,east valley
18,torrance
19,south
20,west
21,central
